# Px, Py, Pz
-3.048820 -0.205959 -2.632220
-2.285980 1.090440 -2.619090
-1.991010 0.840392 -1.846070
-2.343620 1.349380 -1.901160
-3.366240 1.582890 -0.697993
-4.417690 1.572300 -0.004231
-4.670270 2.032970 -0.215730
-2.747500 1.729100 -0.424650
-3.536610 1.262920 0.425495
-3.025090 2.129600 0.011437
-2.030850 1.132820 0.194947
-2.294460 2.280050 -1.170540
-3.420920 2.951340 1.195110
-2.073220 3.183160 1.642220
-2.261400 2.559320 2.476690
-2.674610 2.851750 2.454240
-1.561290 2.584330 2.321570
-1.415490 2.431770 3.612050
-3.775210 3.409470 2.827170
-2.733520 4.123150 2.215200
-1.704950 2.416940 2.205030
-0.893805 2.418200 2.987370
-1.100610 2.365650 2.855990
-1.300220 0.405143 2.542790
-1.078570 1.701990 1.170530
-2.683510 1.400660 2.701730
-2.409310 0.948890 2.260120
-2.314790 1.274370 2.694520
-3.066200 -0.071630 3.437450
-3.239950 0.917524 2.402950
-2.583490 1.660880 3.260710
-2.937780 1.889310 2.117300
-1.893960 2.743670 1.893530
-1.651550 3.478130 1.912610
-0.074593 4.610100 3.340390
-0.075447 3.139940 2.794540
-0.021612 2.875490 2.792850
-1.956260 1.671040 4.182480
-2.863190 1.978300 3.284450
-1.977870 1.679940 1.685030
-3.101360 0.937445 1.574840
-1.893970 1.296410 1.435400
-1.671480 2.169440 1.819370
-0.489479 2.638590 1.367180
-0.700965 1.666810 0.323788
-1.028130 1.147230 1.209950
-0.797598 0.825142 1.643080
-1.457450 2.220710 2.596200
-0.173756 2.235550 1.348540
-0.745038 1.384980 1.194260
-0.929397 1.757070 0.405147
-0.132229 1.294290 0.573837
0.587396 1.069670 0.699263
0.475493 1.183250 -0.112733
-1.162910 0.904399 0.123748
-0.030517 0.222497 0.104674
-1.063310 0.507284 0.914126
-2.597890 0.080942 1.520170
-1.727420 0.353025 1.757490
-1.704950 0.312757 0.886596
-1.505760 0.886592 1.548140
-1.036620 0.679363 1.730380
-1.991010 1.784620 1.716390
-1.789280 1.777420 2.473730
-2.021110 2.660200 2.844120
-0.934476 2.049910 3.714600
-1.866420 2.917020 3.241640
-2.077890 2.774620 2.151630
-1.533310 3.554410 3.943890
-1.641380 3.123830 4.864790
-1.266310 2.778850 5.111020
-2.085520 3.693840 4.477450
0.085608 3.785800 3.594250
0.019491 3.347590 4.531690
-0.783595 2.887350 5.234770
-0.786149 1.994410 3.546780
0.088155 1.661300 4.210030
-1.471860 1.610450 4.747400
-0.011016 2.888190 4.748260
0.514069 2.622060 4.892770
0.227994 2.331340 5.319950
0.326746 2.060520 4.912270
0.047886 1.603660 4.652480
0.511097 1.932950 5.179260
